"","caseid","norm_violation_justification"
"84",2040766001,"The media is a mouthpiece and since the laws were changed in the late 80s and Rupert Murdoch began using Fox News to spread outright LIES, the country has become more divided. People are being unduly influenced to buy into a far right agenda that is not in our interest as a nation. I'm not interested in censorship of partisan politics; however, when partisan politics turns into propaganda and non-factual, it's just 'free speech' - it's opinion, not reporting. And I personally believe that hate speech should not be necessarily protected as free speech."
"85",2039325977,"not sure"
"86",2047218259,"It should only do it if the people want it done."
"87",2043586507,"Republican leaders are openly talking about doing this and FAR FAR WORSE. You can't win by playing by the rules, when the opposing team flagrantly refuses to play by the rules. I wish our democracy was functional, but that's not the reality. I'd rather live under Democrats who bend the rules than let fascists turn the country into a hellscape."
"88",2041165193,"Because I think the Republicans got cheated when we voted for the president. I think there was fraud involved"
"89",2043283337,"I believe that politics is so divided among party lines that sometimes it takes executive orders from the president to help get laws passed to help the American people."
"90",2044489409,"Because The Repubs That Has A Majority In A State Has Changed Every Voting District In Their State To Their Advantage."
"91",2042502891,"I guess because I feel if you belong to one party or another either or you should be loyal to that party."
"92",2042101577,"Didn't understand the question when I read it. Do not agree."
"93",2041956831,"Executive orders don't create new laws. They only allow the president to influence the implementation of existing laws. The reason executive orders have become more widely used more recently by both Democratic and Republican presidents is because Congress has become more polarized and dysfunctional, so the Executive branch has moved to fill in the gap. If Congress truly represented the will of the people, it would be less polarized and Democrats would have greater representation. Instead, the House is gerrymandered to the point where Democrats have to win overall by at least 7% just to achieve parity, and the 50% of senators who are Republicans only represent 43% of the American people. Until these disparities are addressed, the president has no choice but to issue executive orders."
"94",2042391713,"Because those issue are for the good of the people and should be given the chance to work through the process and pass them."
"95",2042496903,"Because executive orders are NOT illegal or unconstitutional. Also, it is a bit concerning that this question equates laws (passed by Congress; signed, or not, by the President) and executive orders (issued by the President; lasts until the next President). As you know, testing the instrument is an important part of survey research."
"96",2043750911,"The Democrats won’t receive too many votes should there polling stations be in areas that support Republicans. It’s just something I think would be true."
"97",2042242811,"because they are president and majority in congress"
"98",2040485759,"They should all be loyal"
"99",2040524647,"No comment"
"100",2042827039,"if the press is not reporting truth or opinion only they need to be made to tell the truth"
"101",2050845611,"Democracy is what this country is"
"102",2040652687,"Democratic President Biden has been issuing executive orders on his own since he took office. Turn around is fair play."
"103",2036354241,"Only way to accomplish goals"
"104",2040690527,"Obama was forced to issue executive orders to get the peoples work done. Trump did the same thing, but the orders were for the benefit of the Republican Party and not for the good of all the US citizens."
"105",2043797389,"Neither party should be able to attack the other party on media sources. Level the mental playing field. Regardless of my opinion regarding representative democracy."
"106",2044254655,"There are certain things that can help everyone. And sometimes Republicans vote against it just because they don't want a democratic to get credit for it."
"107",2043213285,"There has always been the option of executive orders."
"108",2049958661,"It is quite obvious that the GOP has adopted an obstructionist approach to any policy set forth by the Democrats. This is a formula developed since the Reagan era and has sacrificed the well-being of the US people while focusing on the retention of power. Under these conditions, and the existence of the filibuster, it’s often the case that an executive order is required to reflect the will of the people."
"109",2043495787,"Because Republicons are the crooks"
"110",2040374525,"Actually I think it depends on what the issue is and what the law was for. Or. Sometimes I think the democrats are more socialism. They seem to create more racial hatred in my opinion. Of course there's some republicans that can do that as well."
"111",2042307813,"The Republican's constantly use executive orders to pass their agenda. Given that it's the GOP who is circumventing voters rights, and slowly stripping away at our freedoms, I'm ok if Biden uses everything at his disposal to return our civil rights and pass bills that positively impact all citizens."
"112",2041922533,"Because the government should also be able to censor media outlets that attack Republicans more than Democrats. Honestly, media sources, especially news sources should keep opinions to themselves and just report the news. People can form their own opinions. They need not be told what to think by a news channel."
"113",2042568275,"If doing so is legally allowable, there seems to be no other choice but to govern through executive orders."
"114",2047156879,"Too many threats and political violence.Look what 'rump did on Twitter."
"115",2041659365,"because presidents of both parties have often issued executive orders to accomplish priorities which is a legal procedure."
"116",2041817325,"Because Republicans in congress hold hostage legislation forwarded to them simply to satisfy a republican party, no because it is a fair and just issue"
"117",2048698371,"Because the Republicans won't agree on anything the Democrats do. They block everything to go against the people."
"118",2041965683,"Most Republicans are not truthful. Brainwash their viewers like the hosts of Fox News. All full of BS. They should be fact checked on air as they are speaking. They twist everything to their liking."
"119",2042113091,"Because that's how the Republican president did it, and that was all fine, apparently."
"120",2043838443,"Because that is currently what the Republicans are doing."
"121",2043680235,"Because I would have voted for the Democratic president. I realize that this is kind of hypocritical, now that you point it out, but I was thinking in the terms of what we have now, with an democratic congress, and the rules of the senate allow the a minority to stop laws from going through. Also, executive orders are common, and have been used frequently."
"122",2041036831,"I think loyalty to the Democratic is important because if they do not agree than laws cannot be passed."
"123",2047170459,"It sure"
"124",2048669913,"Because the Democrats have been cheating in voting tallies."
"125",2041564213,"Because that's what the Democrats have been doing. Just look at Hillary Clinton!"
"126",2041165985,"If the party thinks and has reason to believe that the election has not been truthful and honest and fair, then I htink they should foloow their party."
"127",2043452543,"We are very fortunate to have so many freedoms. We can elect our government officials"
"128",2039982397,"I do not believe this to be true in every case, but there are instances in which the idea is so important it needs to be addressed. If the only way to address it is by executive order, then so be it. I believe we need to have a Congress and Senate willing to work across the aisle to accomplish great things. Sadly, that is not the sentiment held by most Senators and Representatives at this time."
"129",2051002283,"Because the media is very bias, it is obviously not very supportive of the the Republican party and always dawns over any Democrat they have on the air. It is not fair reporting, that is why I stopped watching the news."
"130",2043604169,"Because its partisan b.s. and bocking the president is not for the people. Go around it if necessary."
"131",2050389491,"The media must avoid biases."
"132",2043463097,"Because republicans have stated their purpose is to prevent democrats from passing anything. They have no purpose of working with democrats on anything."
"133",2041763459,"I don’t know"
"134",2043538889,"I stated that because sometimes you're not going to have the necessary support and you need a method of vetoing or circumventing some processes."
"135",2048912275,"no"
"136",2042399539,"Democrats are more likely to use executive orders for the good of their constituents. Republicans are more likely to use executive orders to benefit their personal interests. Selfishness is the foundation of the Republican Party."
"137",2043888899,"The media SHOULD be unbiased, so they shouldn't be attacking one party more than the other. They should only report the truth. However, when they don't report truth, and lean more one way or the other, they should be reigned in."
"138",2041955071,"I actually don't think that either party should consider ignoring court decisions wen the judges wo issued those decisions were appointed by either party"
"139",2043301703,"Because there are things that shoukd be properly investigated and heard. Being allowed to question how things were done is part of democracy. Many laws were changed in an instant, so questionable things happened"
"140",2047112889,"If they are playing politics and the President knows it is the right thing for the country."
"141",2047197977,"Because they always telling lies"
"142",2042387671,"There are exceptions to every rule and sensoring one sided media is one of them"
"143",2043610665,"I don't always agree with it, but sometimes it's necessary."
"144",2049687391,"For the past 4 election cycles the republicans has been the party of no to the majority of legislation proposed by democrats without any good reason. Until there is a change in electeds to those that are willing to work across the aisle executive orders are the way to accomplish anything"
"145",2043396107,"The President has that right to do so for the safety of this country. But does not have the right to use this authority for his own gain."
"146",2042163815,"Because the Republicans have a clear track record of believing in conspiracy theorist."
"147",2041409449,"The media should spend more time reporting the news and less time giving their bias opinions toward a certain candidate."
"148",2043386639,"Our ""representative democracy"" is deeply divided politically. If the opposition is constant to the president of either party, I believe the president should be able to issue executive orders within the rules, regulatios, and laws that allow executive orders, staying true to the constitution in all cases."
"149",2039359311,"Much of the media that attacks Democrats are using lies and misinformation. They are using their platform unfairly to influence their viewers and listeners."
"150",2047178319,"This was a mistake..I do not agree with it"
"151",2042099899,"the duly elected president is representative of the voting public. Republicans in congress have proven themselves willing to do anything to prevent a Democratic president from having success (Mitch McConnell is quoted saying as much), so in order to do the job he or she was elected to do, it has been necessary in recent years for Democratic presidents to use executive orders. It must be done within the strictures of the law."
"152",2040839431,"I don't think media should attack either party more than the other - if they use lies in doing it."
"153",2041791583,"Democrats in general are not conservative, much to the contrary."
"154",2045769435,"When Obama was elected, some Republican officials met in private and decided no matter the issue, they would not back the POTUS. I believe that they still do that and therfore there should be circumventing."
"155",2042614509,"Republican President Trump was corrupt"
"156",2044475979,"Because I don’t think it should be biased"
"157",2043386715,"I don't approve of anything Democrats do or say"
"158",2042181493,"Gerrymandering has skewed what should be representative democracy in favour of republicans. if we truly had a representative democracy, I would change my answer."
"159",2042425665,"Republican folks just don't like Democrats and President Obama has a very hard time getting things passed"
"160",2043569113,"Because party unity involving either party is important, they must back their own party"
"161",2044442565,"Republican don't always have women best interest in mind."
"162",2048418167,"the republicans dont care about democracy they only care to stop any law made it from democrats not about the good of the country"
"163",2043603357,"Most of the judges involved are very biased supporting radical policies embrace and supported by the Democratic party"
"164",2043570705,"Shows support to their party"
"165",2048139277,"i feel the president should have the last action on laws-and sometimes others disaggree with him-but if he really feels the law is necessary -he should have all the power"
"166",2043435353,"they need to ban togeather"
"167",2040652177,"Although your questions are vague the reason I answered as i did: It is entirely possible that the candidate (Republican or Democrat) really has a leg to stand on to question the ballot count. Problems/mistakes do happen unfortunately in voter counts and recounts in the past have shown this. You don't roll over if you think you are right. Party members should stand behind each other, following the rules, until a TRUE decision has been made."
"168",2046248769,"Yes I should be easyer"
"169",2041638987,"Because the Republican Party of today is not interested in fairness and is in willing to work across the aisle with Democrats on anything and has become obstructionist. This is best demonstrated by the tactics which they used to pack the Supreme Court with a 6-3 majority. Mitch McConnell refused to even hold hearings when Merrick Garland was nominated saying that “the voters should get the opportunity to voice their opinion” even though the next presidential election was 8 months away. When Justice Ginsberg died in September of 2020 McConnell rushed Amy Coney Barrett’s nomination through in unprecedented fashion. Another example of this is the attempt by Donald Trump to steal the 2020 election from Joe Biden knowing that he had lost and the willingness of the majority of Republicans to go along with The Big Lie to retain their power regardless of the damage it has done to our democracy."
"170",2045882975,"Thank you pointing out my glaring constitutional faux pas. Honestly, I am not really sure I can logically explain my obvious contradiction except to say this: that a President's EO is not actually ""law"" and only lasts for the duration of his/her term, so it's only a temporary fix. Besides, if the EO is so controversial it can (and likely will) get challenged in court. Thus, the checks and balances of our representative government will be involved and will allow the EO to stand (because it is determined to be ""constitutional"") or not stand. Regardless, I am pretty sure it will still be a temporary fix until it is set in law by the legislative branch, whose job it is to pass laws. I hope this makes sense to someone. It actually does to me, I think."
"171",2047367425,"Politics back each other"
"172",2048685199,"Yes Democrats should be more loyal to the Democratic party than to election rules and the constitution."
"173",2043487889,"I LOVE DONALD TRUMP"
"174",2042476539,"All attack ads by both parties should stop and be censored now and forever. It makes Americans look petty."
"175",2040399037,"To prevent gridlock and get important policy enacted. Republicans have already shown and indicated they will not work with Democrats on anything."
"176",2043366129,"Too many media sources do not report accurately."
"177",2047528117,"im praying that they own up to their word and help the poor thats in need"
"178",2041819413,"Too many drop boxes allow mis representation of fair ballots, makes it too easy to drop false ballots"
"179",2049462809,"This action should take place on a limited bases such as with reproductive rights."
"180",2042451027,"It's called an Executive Order, it already exists. The GOP wants the USA to be China."
"181",2038562945,"I dont feel either parties should be attacking each other, nor allow it. I feel both parties should not be allowed to do so. Both should be censored where necessary"
"182",2043799961,"The media has been attacking Republicans especially since Trump became a president . The media has been censoring Republicans & trying to manipulate voters. This shouldn't be allowed to the extent it has been."
"183",2043838375,"I strongly agreed that If a Democratic president can't get cooperation from Republican members of congress to pass new laws, the Democratic president should circumvent Congress and issue executive orders on their own to accomplish their priorities, because Republicans in many cases will do anything to stonewall progressive policies under a Democratic president, and sometimes extreme measures are needed to pass important legislation concerning the environment, marginalized communities, and economic reform."
"184",2048939705,"Because Republicans have cheated by gerrymandering voting districts and limiting/cutting early voting. Also, the Electoral College should be abolished since it is an anachronism."
"185",2041400813,"The power of executive orders is limited in scope and duration. For example, the President cannot change tax laws. I will go further,, because of gerrymandering, the outsized effect of Senate representation favoring rural states and the Republican control of the Supreme Court it's not exactly structurally representative to begin with. Executive orders are not dictatorial."
"186",2043546191,"Because the issuance of executive orders are legal in the United States. There’s only so much a President can do with executive orders, but as long as he/she is operating within the law, I think a Democratic AND a Republican President is within their rights to issue executive orders, at least until the laws are changed."
"187",2049394131,"It has to be done by someone"
"188",2042468719,"None"
"189",2040799623,"I should have disagreed with the word censor. Media sources should be required to be non biased. Media is ridiculous right now. What happened to fair and balanced?"
"190",2038535699,"I believe that majority of Democrats that I have met are straight ticket voters which in my opinion is unfair to our citizens and our country because they don't really care about issues as long as a Democrat wins."
"191",2047998935,"because it would get them out of office faster"
"192",2043615327,"While I agree that a representative democracy is ideal, I also recognize that our government has to function. My hope would be that the president and Congress would work together. If that's not happening then I think the president should circumvent Congress."
"193",1639331467,"Because on a national level, there are more democratic news channels then there are Republicans"
"194",2049382361,"Democratic presidents typically have the majority of Americans values in mind and would pass laws to benefit the majority of Americans. Republican members of congress typically don't accurately represent their own constituent's needs and should be bypassed in some circumstances when they stand in the way of public safety."
"195",2040893129,"I do not believe the media and sometimes they do publish wrong news and if they attack Republican on purpose they should be stopped"
"196",2042243117,"okay i i’m i i i"
"197",2043518763,"as is now i feel neither republican and democrats reallydont take us into consideration, all they do is fight"
"198",2048476619,"Because that President was elected by the people to represent them. Republican members of congress learned from Gingrich that it's more important to stop laws written by Democrats than it is to compromise and find the middle ground. The Republican party is the party of rich, white men that seeks to bamboozle everyone into thinking they care about them."
"199",2042513097,"Sometimes with the Democrat party it depends on who the president is and not what the new laws that are trying to be passed. It shouldn't make a difference who the president is. Sometimes it is just spite."
"200",2042573925,"The filibuster. It isn’t even in the Constitution. If a majority supports the effort but it cannot pass because of filibuster gridlock, the President should act. If the majority oppose, President should refrain. But filibuster needs to permanently go."
"201",2043854533,"I was wrong, but Republicans r really messed up now days Trumplicans they are, and they destroying our democracy, they need come together to help us all instead trying please Trump, but I was wrong in that question."
"202",2042656747,"Because Republicans are already doing it. It's the only recourse Democrats have to keep up with Rephblicans' antidemocratic machinations."
"203",2042451055,"the bias and hype that sometimes comes from media can stir persons with ideas should not be there. yes we have the God given right to make our own decisions, unfortunately some people think the media is the gospel and let's face it - whomever is reporting AT THAT TIME it's their truth not necessarily THE truth..."
"204",2037617631,"Because of their false narrative. Very disrespectful and it seems we have got to where this country will belief a lie over the truth."
"205",2041975211,"Executive orders exist for a reason. When it is imperative that certain goals are achieved, it had always been acceptable for presidents to issue executive orders"
"206",2047197939,"It great good very beautiful to see"
"207",2041956947,"Sometimes extreme cases require extreme results."
"208",2041409747,"Organizations that attack Democrats more than Republicans have shown they do not value fair elections or truth."
"209",2047934899,"Both parties do the same thing all the time to get what they want"
"210",2048733903,"None"
"211",2041514793,"Since it is not illegal to issue an executive order, any President should be able to issue an executive order. Just make it illegal to issue an executive order and then no president can do it!"
"212",2041988733,"If Republican members have valid reasons for opposing the new laws that a Democratic president wants to pass, then I don't believe that the POTUS should circumvent Congress. However, the current Republican Congresspeople are opposing anything and everything just for the sake of gridlock. If nothing is getting done, then the Republicans will and are blaming it on the Democrats. An example is Matt Gaetz voting no on emergency aid to Florida following the latest hurricane. He would rather his constituents suffer, than ""give Joe Biden a win"". In a situation like this, then I believe in the POTUS circumventing the Congress."
"213",2041001099,"Yes because all of us have the right for the rules and constitution."
"214",2042738111,"The republicans would do the same thing"
"215",2039030471,"As long as they within the laws of the constitution, and using executive orders is within those laws, both Dem and Repub can do it. Frankly I prefer executive orders to be cut back on by a vote of Congress though."
"216",2043367059,"For dozens of years under McConnell’s leadership, Republicans have taken the position of refusing to pass many common sense laws in order to retain the upper hand. (Whereas under Bush and even Trump, Democrats did not have the same straight line purity test voting box behavior.) Many important issues, such as student loan relief, gun control, environmental protection, and women’s healthcare access are related to executive branch offices, and to the degree that they are properly related to these offices, the president should use their properly granted authority to fight for the policies they were elected to enact. This becomes even more important when tactics like the filibuster and gerrymandered districts are overused to the point where the executive branch more accurately reflects the popular vote than the Congress."
"217",2044440855,"Because republicans back eachother up even if they personally disagree. They have this ride or die god complex that itsnt right. Republicans wouldn’t back up a democrat unless they get some personal gain from it where democrats are just thinking of what’s best for the American people"
"218",2043225603,"Yes"
"219",2043201157,"I think any elected representative should use any and all resources legally available to do what he or she believes they were elected to accomplish. If that includes executive action, then by all means, go for it."
"220",2051436253,"The president should seek cooperation from congress but should be allowed to pass executive orders WITHIN their authority to do so, i.e only circumvent congress when it's allowed. If Americans do not like a president that circumvents congress in situations they're allowed to, they have the right to not elect them."
"221",2043452267,"elections have consequences you win you rule don't like it win next time"
"222",2051406551,"none of them should be attacking anybody they are there for we the people of the UNITED STATES OF AMERICA not for themselves."
"223",2041372531,"Because many times the reason the President can’t get the law passed is because the other party just doesn’t want to allow it to pass, even if they agree with it, to prove a point and be petty. Sometimes the President has to step in and do what’s right for the country."
"224",2043306071,"The Democrats control the majority of the media and the news reports are heavily slanted in their favor. Many stories that would paint Democrats in an unfavorable light are largely unreported by notoriously liberal news outlets."
"225",2039454207,"none"
"226",2042372121,"Let’s Go Brandon!"
"227",2042759793,"No matter what we the people elect the people in the government and we people should come together as one whole nation not against one and other."
"228",2041222527,"If the judges were appointed by Republicans and do not have term limits, I think this does not make them representative of what the people want if Democrats were elected"
"229",2042190097,"It is very good and has hard work"
"230",2041401605,"Due to gerrymandering and the unequal representation of the population in the Senate, the president should be able to enact some exercise orders to represent the majority of Americans"
"231",2039647563,"Democracy should support their own party"
"232",2042968697,"Living in a representative democracy is one thing but media sometimes is ridiculous when it comes to attacking the government for no good reason so censoring such absurd news sounds fair"
"233",2040907061,"this is because most media is left leaning, they never say bad things about democrats and always demonize republicans"
"234",2043545565,"I believe in democracy and agreements should be respected and debated when there is disagreement"
"235",2041922435,"Both thy need to get along and solve issues for our country that is the way they prove the leadership deserved for people who alected them."
"236",2043568077,"I hate both parties attacking each other."
"237",2049292071,"Because it isn’t right that Republicans are attacking Democrats"
"238",2046524439,"it is okay to get a recount if needed"
"239",2042979223,"These media are biased and motivated by money."
